"from,""to"",""sign"",""polarity"""
"Hospital Efficiency Mandates,""Average LOS"",-1,""negative"""
"Average LOS,""Hospital Operating Costs"",1,""positive"""
"Hospital Operating Costs,""Hospital Efficiency Mandates"",1,""positive"""
"30-Day Readmission Rate,""Hospital Operating Costs"",1,""positive"""
"Premature Discharge Risk,""30-Day Readmission Rate"",1,""positive"""
"Hospital Operating Costs,""Pressure for Cost Containment"",1,""positive"""
"Pressure for Cost Containment,""Discharge Planning Quality"",-1,""negative"""
"30-Day Readmission Rate,""Policy Attention to Readmission"",1,""positive"""
"Policy Attention to Readmission,""Funding for Community Care/Services"",1,""positive"""
"Funding for Community Care/Services,""Post-Discharge Follow-up Quality"",1,""positive"""
"Average LOS,""Discharge Planning Quality"",1,""positive"""
"Patient Clinical Risk Profile,""30-Day Readmission Rate"",1,""positive"""
"Comorbidities,""Patient Clinical Risk Profile"",1,""positive"""
"Severity of Illness/Acuity of Admission,""Patient Clinical Risk Profile"",1,""positive"""
"Frailty/Functional Status,""Patient Clinical Risk Profile"",1,""positive"""
"Cognitive Impairment/Status,""Patient Clinical Risk Profile"",1,""positive"""
"Emergency Department Visits/Prior Hospitalization,""Patient Clinical Risk Profile"",1,""positive"""
"Medication Adherence,""Complications"",-1,""negative"""
"Patient Education/Health Literacy,""Socio-economic Vulnerability"",-1,""negative"""
"Financial Strain,""Socio-economic Vulnerability"",1,""positive"""
"Pressure for Cost Containment,""Staffing Levels"",-1,""negative"""
"Staffing Levels,""Workload"",-1,""negative"""
"Workload,""Medical Error Rate (Care Quality)"",1,""positive"""
"Medical Error Rate (Care Quality),""Discharge Planning Quality"",-1,""negative"""
"Access to Primary/Outpatient Care,""Post-Discharge Follow-up Quality"",1,""positive"""
"Area Deprivation,""Access to Primary/Outpatient Care"",-1,""negative"""
"Complications,""30-Day Readmission Rate"",1,""positive"""
"Discharge Planning Quality,""Premature Discharge Risk"",-1,""negative"""
"Patients Satisfaction,""Policy Support for Quality"",1,""positive"""
"Policy Support for Quality,""Funding for Quality Improvement"",1,""positive"""
"Funding for Quality Improvement,""Discharge Planning Quality"",1,""positive"""
"Discharge Planning Quality,""Patients Satisfaction"",1,""positive"""
"30-Day Readmission Rate,""Patients Satisfaction"",-1,""negative"""
"Post Discharge Care Needs,""Municipal Care Burden/Workload"",1,""positive"""
"Municipal Care Burden/Workload,""Care Gaps"",1,""positive"""
"Care Gaps,""Post-Discharge Follow-up Quality"",-1,""negative"""
"Hospital Capacity strain,""Pressure for Early Discharge"",1,""positive"""
"Hospital Admissions,""Workload"",1,""positive"""
"Hospital Operating Costs,""Hospital Budget Pressure"",1,""positive"""
"Population Growth Rate,""Hospital Admissions"",1,""positive"""
"Net Migration Inflow,""Population Growth Rate"",1,""positive"""
"Discharge Planning Quality,""Continuity of Care"",1,""positive"""
"Continuity of Care,""Medication Reconciliation Accuracy"",1,""positive"""
"Medication Reconciliation Accuracy,""30-Day Readmission Rate"",-1,""negative"""
"Continuity of Care,""Post-Discharge Follow-up Quality"",1,""positive"""
"Post-Discharge self-management,""Complications"",-1,""negative"""
"Socio-economic Vulnerability,""Post-Discharge self-management"",-1,""negative"""
"Proportion of High-Risk Elderly Patients (Aging population),""Frailty/Functional Status"",1,""positive"""
"Proportion of High-Risk Elderly Patients (Aging population),""Comorbidities"",1,""positive"""
"Proportion of High-Risk Elderly Patients (Aging population),""Severity of Illness/Acuity of Admission"",1,""positive"""
"Proportion of High-Risk Elderly Patients (Aging population),""Cognitive Impairment/Status"",1,""positive"""
"Proportion of High-Risk Elderly Patients (Aging population),""Emergency Department Visits/Prior Hospitalization"",1,""positive"""
"Average LOS,""Pressure for Early Discharge"",-1,""negative"""
"Pressure for Cost Containment,""Average LOS"",-1,""negative"""
"Pressure for Early Discharge,""Post Discharge Care Needs"",1,""positive"""
"Proportion of High-Risk Elderly Patients (Aging population),""Hospital Admissions"",1,""positive"""
"Hospital Admissions,""Hospital Budget Pressure"",1,""positive"""
"Pressure for Early Discharge,""Clinical Stability"",-1,""negative"""
"Clinical Stability,""Premature Discharge Risk"",-1,""negative"""
"Early Detection Rate,""30-Day Readmission Rate"",-1,""negative"""
"Health Expenditure (GDP-Percent),""Municipal Investment"",1,""positive"""
"Municipal Investment,""Access to Primary/Outpatient Care"",1,""positive"""
"30-Day Readmission Rate,""Hospital Admissions"",1,""positive"""
"Hospital Budget Pressure,""Hospital Efficiency Mandates"",1,""positive"""
"Socio-economic Vulnerability,""Medication Adherence"",-1,""negative"""
"Hospital Budget Pressure,""Pressure for Cost Containment"",1,""positive"""
"Health Expenditure (GDP-Percent),""Hospital Budget Allocation"",1,""positive"""
"Hospital Budget Allocation,""Hospital Budget Pressure"",-1,""negative"""
"Hospital Budget Allocation,""Hospital Capacity strain"",-1,""negative"""
"Policy Attention to Readmission,""Funding for Quality Improvement"",1,""positive"""
"Post-Discharge Follow-up Quality,""Early Detection Rate"",1,""positive"""
"Workload,""Staffing Levels"",1,""positive"""
"Hospital Capacity strain,""Hospital Admissions"",-1,""negative"""
"Hospital Admissions,""Hospital Operating Costs"",1,""positive"""
"Hospital Admissions,""Patients Satisfaction"",1,""positive"""
"Discharge Planning Quality,""Average LOS"",-1,""negative"""
"Funding for Community Care/Services,""Average LOS"",-1,""negative"""
"Unmet ADL needs,""Premature Discharge Risk"",1,""positive"""
"Funding for Community Care/Services,""Unmet ADL needs"",-1,""negative"""
