"source,""target"",""path_based_qualitative_influence"",""n_paths_total"",""n_positive_paths"",""n_negative_paths"",""shortest_positive_path"",""shortest_negative_path"",""shortest_any_path"",""longest_path"",""direct_effect"",""n_loops_total"",""n_reinforcing"",""n_balancing"",""share_reinforcing"",""share_balancing"""
"Premature Discharge Risk,""30-Day Readmission Rate"",""+"",1,1,0,1,0,1,1,""+"",57,36,21,0.631578947368421,0.368421052631579"
"Pressure for Early Discharge,""30-Day Readmission Rate"",""+"",2,2,0,3,0,3,6,"""",49,25,24,0.510204081632653,0.489795918367347"
"Care Gaps,""30-Day Readmission Rate"",""+"",1,1,0,3,0,3,3,"""",24,12,12,0.5,0.5"
"Municipal Care Burden/Workload,""30-Day Readmission Rate"",""+"",1,1,0,4,0,4,4,"""",24,12,12,0.5,0.5"
"Post Discharge Care Needs,""30-Day Readmission Rate"",""+"",1,1,0,5,0,5,5,"""",24,12,12,0.5,0.5"
"Unmet ADL needs,""30-Day Readmission Rate"",""+"",1,1,0,2,0,2,2,"""",1,0,1,0,1"
"Area Deprivation,""30-Day Readmission Rate"",""+"",1,1,0,4,0,4,4,"""",0,0,0,0,0"
"Cognitive Impairment/Status,""30-Day Readmission Rate"",""+"",1,1,0,2,0,2,2,"""",0,0,0,0,0"
"Comorbidities,""30-Day Readmission Rate"",""+"",1,1,0,2,0,2,2,"""",0,0,0,0,0"
"Complications,""30-Day Readmission Rate"",""+"",1,1,0,1,0,1,1,""+"",0,0,0,0,0"
"Emergency Department Visits/Prior Hospitalization,""30-Day Readmission Rate"",""+"",1,1,0,2,0,2,2,"""",0,0,0,0,0"
"Financial Strain,""30-Day Readmission Rate"",""+"",2,2,0,4,0,4,4,"""",0,0,0,0,0"
"Frailty/Functional Status,""30-Day Readmission Rate"",""+"",1,1,0,2,0,2,2,"""",0,0,0,0,0"
"Patient Clinical Risk Profile,""30-Day Readmission Rate"",""+"",1,1,0,1,0,1,1,""+"",0,0,0,0,0"
"Severity of Illness/Acuity of Admission,""30-Day Readmission Rate"",""+"",1,1,0,2,0,2,2,"""",0,0,0,0,0"
"Socio-economic Vulnerability,""30-Day Readmission Rate"",""+"",2,2,0,3,0,3,3,"""",0,0,0,0,0"
"Continuity of Care,""30-Day Readmission Rate"",""-"",2,0,2,0,2,2,3,"""",62,46,16,0.741935483870968,0.258064516129032"
"Early Detection Rate,""30-Day Readmission Rate"",""-"",1,0,1,0,1,1,1,""-"",56,35,21,0.625,0.375"
"Post-Discharge Follow-up Quality,""30-Day Readmission Rate"",""-"",1,0,1,0,2,2,2,"""",56,35,21,0.625,0.375"
"Medication Reconciliation Accuracy,""30-Day Readmission Rate"",""-"",1,0,1,0,1,1,1,""-"",31,23,8,0.741935483870968,0.258064516129032"
"Clinical Stability,""30-Day Readmission Rate"",""-"",1,0,1,0,2,2,2,"""",25,13,12,0.52,0.48"
"Access to Primary/Outpatient Care,""30-Day Readmission Rate"",""-"",1,0,1,0,3,3,3,"""",0,0,0,0,0"
"Medication Adherence,""30-Day Readmission Rate"",""-"",1,0,1,0,2,2,2,"""",0,0,0,0,0"
"Municipal Investment,""30-Day Readmission Rate"",""-"",1,0,1,0,4,4,4,"""",0,0,0,0,0"
"Patient Education/Health Literacy,""30-Day Readmission Rate"",""-"",2,0,2,0,4,4,4,"""",0,0,0,0,0"
"Post-Discharge self-management,""30-Day Readmission Rate"",""-"",1,0,1,0,2,2,2,"""",0,0,0,0,0"
"Discharge Planning Quality,""30-Day Readmission Rate"",""±"",5,2,3,5,2,2,8,"""",126,77,49,0.611111111111111,0.388888888888889"
"Average LOS,""30-Day Readmission Rate"",""±"",17,12,5,5,3,3,11,"""",109,62,47,0.568807339449541,0.431192660550459"
"Hospital Operating Costs,""30-Day Readmission Rate"",""±"",40,32,8,4,7,4,14,"""",106,68,38,0.641509433962264,0.358490566037736"
"Pressure for Cost Containment,""30-Day Readmission Rate"",""±"",15,11,4,3,6,3,12,"""",99,59,40,0.595959595959596,0.404040404040404"
"Hospital Budget Pressure,""30-Day Readmission Rate"",""±"",26,16,10,4,7,4,13,"""",76,50,26,0.657894736842105,0.342105263157895"
"Hospital Admissions,""30-Day Readmission Rate"",""±"",76,53,23,5,6,5,15,"""",75,52,23,0.693333333333333,0.306666666666667"
"Workload,""30-Day Readmission Rate"",""±"",5,3,2,4,7,4,10,"""",42,20,22,0.476190476190476,0.523809523809524"
"Medical Error Rate (Care Quality),""30-Day Readmission Rate"",""±"",5,3,2,3,6,3,9,"""",41,20,21,0.48780487804878,0.51219512195122"
"Staffing Levels,""30-Day Readmission Rate"",""±"",5,2,3,8,5,5,11,"""",37,17,20,0.459459459459459,0.540540540540541"
"Hospital Efficiency Mandates,""30-Day Readmission Rate"",""±"",17,5,12,4,6,4,12,"""",33,25,8,0.757575757575758,0.242424242424242"
"Policy Attention to Readmission,""30-Day Readmission Rate"",""±"",24,7,17,5,4,4,13,"""",24,7,17,0.291666666666667,0.708333333333333"
"Funding for Community Care/Services,""30-Day Readmission Rate"",""±"",19,5,14,4,3,3,12,"""",19,5,14,0.263157894736842,0.736842105263158"
"Funding for Quality Improvement,""30-Day Readmission Rate"",""±"",5,2,3,6,3,3,9,"""",15,7,8,0.466666666666667,0.533333333333333"
"Patients Satisfaction,""30-Day Readmission Rate"",""±"",5,2,3,8,5,5,11,"""",10,5,5,0.5,0.5"
"Policy Support for Quality,""30-Day Readmission Rate"",""±"",5,2,3,7,4,4,10,"""",10,5,5,0.5,0.5"
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""±"",105,63,42,8,5,5,18,"""",0,0,0,0,0"
"Hospital Budget Allocation,""30-Day Readmission Rate"",""±"",104,63,41,7,5,5,17,"""",0,0,0,0,0"
"Hospital Capacity strain,""30-Day Readmission Rate"",""±"",78,25,53,4,6,4,16,"""",0,0,0,0,0"
"Net Migration Inflow,""30-Day Readmission Rate"",""±"",76,53,23,7,8,7,17,"""",0,0,0,0,0"
"Population Growth Rate,""30-Day Readmission Rate"",""±"",76,53,23,6,7,6,16,"""",0,0,0,0,0"
"Proportion of High-Risk Elderly Patients (Aging population),""30-Day Readmission Rate"",""±"",81,58,23,3,7,3,16,"""",0,0,0,0,0"
