"loop_id,""loop"",""length"",""sign"",""polarity"",""length_bin"""
"1,""Average LOS -> Discharge Planning Quality"",2,-1,""balancing"",""short_leq_4"""
"2,""Staffing Levels -> Workload"",2,-1,""balancing"",""short_leq_4"""
"3,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment"",3,-1,""balancing"",""short_leq_4"""
"4,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs"",3,-1,""balancing"",""short_leq_4"""
"5,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality"",4,1,""reinforcing"",""short_leq_4"""
"6,""Discharge Planning Quality -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement"",4,1,""reinforcing"",""short_leq_4"""
"7,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",4,-1,""balancing"",""short_leq_4"""
"8,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure"",4,-1,""balancing"",""short_leq_4"""
"9,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",5,1,""reinforcing"",""medium_5_to_8"""
"10,""Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",5,1,""reinforcing"",""medium_5_to_8"""
"11,""30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services -> Post-Discharge Follow-up Quality -> Early Detection Rate"",5,-1,""balancing"",""medium_5_to_8"""
"12,""30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services -> Unmet ADL needs -> Premature Discharge Risk"",5,-1,""balancing"",""medium_5_to_8"""
"13,""30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Quality Improvement -> Discharge Planning Quality -> Premature Discharge Risk"",5,-1,""balancing"",""medium_5_to_8"""
"14,""30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk"",6,1,""reinforcing"",""medium_5_to_8"""
"15,""30-Day Readmission Rate -> Hospital Admissions -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk"",6,1,""reinforcing"",""medium_5_to_8"""
"16,""30-Day Readmission Rate -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality -> Premature Discharge Risk"",6,1,""reinforcing"",""medium_5_to_8"""
"17,""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment"",6,1,""reinforcing"",""medium_5_to_8"""
"18,""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",6,1,""reinforcing"",""medium_5_to_8"""
"19,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs"",6,1,""reinforcing"",""medium_5_to_8"""
"20,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",6,1,""reinforcing"",""medium_5_to_8"""
"21,""Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",6,1,""reinforcing"",""medium_5_to_8"""
"22,""Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions"",6,1,""reinforcing"",""medium_5_to_8"""
"23,""30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy"",6,-1,""balancing"",""medium_5_to_8"""
"24,""30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy"",7,1,""reinforcing"",""medium_5_to_8"""
"25,""30-Day Readmission Rate -> Hospital Admissions -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy"",7,1,""reinforcing"",""medium_5_to_8"""
"26,""30-Day Readmission Rate -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy"",7,1,""reinforcing"",""medium_5_to_8"""
"27,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment"",7,1,""reinforcing"",""medium_5_to_8"""
"28,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",7,1,""reinforcing"",""medium_5_to_8"""
"29,""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment"",7,1,""reinforcing"",""medium_5_to_8"""
"30,""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment"",7,1,""reinforcing"",""medium_5_to_8"""
"31,""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",7,1,""reinforcing"",""medium_5_to_8"""
"32,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",7,1,""reinforcing"",""medium_5_to_8"""
"33,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment"",7,1,""reinforcing"",""medium_5_to_8"""
"34,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",7,1,""reinforcing"",""medium_5_to_8"""
"35,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Operating Costs"",7,1,""reinforcing"",""medium_5_to_8"""
"36,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",7,1,""reinforcing"",""medium_5_to_8"""
"37,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs"",7,1,""reinforcing"",""medium_5_to_8"""
"38,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure"",7,1,""reinforcing"",""medium_5_to_8"""
"39,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs"",7,1,""reinforcing"",""medium_5_to_8"""
"40,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",7,1,""reinforcing"",""medium_5_to_8"""
"41,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions"",7,1,""reinforcing"",""medium_5_to_8"""
"42,""Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions"",7,1,""reinforcing"",""medium_5_to_8"""
"43,""Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",7,1,""reinforcing"",""medium_5_to_8"""
"44,""30-Day Readmission Rate -> Hospital Admissions -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality -> Premature Discharge Risk"",7,-1,""balancing"",""medium_5_to_8"""
"45,""30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate"",7,-1,""balancing"",""medium_5_to_8"""
"46,""30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate"",8,1,""reinforcing"",""medium_5_to_8"""
"47,""30-Day Readmission Rate -> Hospital Admissions -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate"",8,1,""reinforcing"",""medium_5_to_8"""
"48,""30-Day Readmission Rate -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate"",8,1,""reinforcing"",""medium_5_to_8"""
"49,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"50,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"51,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"52,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"53,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",8,1,""reinforcing"",""medium_5_to_8"""
"54,""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"55,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",8,1,""reinforcing"",""medium_5_to_8"""
"56,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"57,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"58,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",8,1,""reinforcing"",""medium_5_to_8"""
"59,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Quality Improvement -> Discharge Planning Quality"",8,1,""reinforcing"",""medium_5_to_8"""
"60,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",8,1,""reinforcing"",""medium_5_to_8"""
"61,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs"",8,1,""reinforcing"",""medium_5_to_8"""
"62,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure"",8,1,""reinforcing"",""medium_5_to_8"""
"63,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs"",8,1,""reinforcing"",""medium_5_to_8"""
"64,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure"",8,1,""reinforcing"",""medium_5_to_8"""
"65,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",8,1,""reinforcing"",""medium_5_to_8"""
"66,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs"",8,1,""reinforcing"",""medium_5_to_8"""
"67,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure"",8,1,""reinforcing"",""medium_5_to_8"""
"68,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions"",8,1,""reinforcing"",""medium_5_to_8"""
"69,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",8,1,""reinforcing"",""medium_5_to_8"""
"70,""Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions"",8,1,""reinforcing"",""medium_5_to_8"""
"71,""Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",8,1,""reinforcing"",""medium_5_to_8"""
"72,""30-Day Readmission Rate -> Hospital Admissions -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy"",8,-1,""balancing"",""medium_5_to_8"""
"73,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",8,-1,""balancing"",""medium_5_to_8"""
"74,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality"",8,-1,""balancing"",""medium_5_to_8"""
"75,""30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk"",9,1,""reinforcing"",""long_9_to_16"""
"76,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",9,1,""reinforcing"",""long_9_to_16"""
"77,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment"",9,1,""reinforcing"",""long_9_to_16"""
"78,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment"",9,1,""reinforcing"",""long_9_to_16"""
"79,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",9,1,""reinforcing"",""long_9_to_16"""
"80,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",9,1,""reinforcing"",""long_9_to_16"""
"81,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure"",9,1,""reinforcing"",""long_9_to_16"""
"82,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",9,1,""reinforcing"",""long_9_to_16"""
"83,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs"",9,1,""reinforcing"",""long_9_to_16"""
"84,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure"",9,1,""reinforcing"",""long_9_to_16"""
"85,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure"",9,1,""reinforcing"",""long_9_to_16"""
"86,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions"",9,1,""reinforcing"",""long_9_to_16"""
"87,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",9,1,""reinforcing"",""long_9_to_16"""
"88,""Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",9,1,""reinforcing"",""long_9_to_16"""
"89,""Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions"",9,1,""reinforcing"",""long_9_to_16"""
"90,""30-Day Readmission Rate -> Hospital Admissions -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate"",9,-1,""balancing"",""long_9_to_16"""
"91,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",9,-1,""balancing"",""long_9_to_16"""
