"source,""target"",""path"",""path_length"",""path_sign"""
"Access to Primary/Outpatient Care,""30-Day Readmission Rate"",""Access to Primary/Outpatient Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",3,""-"""
"Area Deprivation,""30-Day Readmission Rate"",""Area Deprivation -> Access to Primary/Outpatient Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",4,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",8,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",9,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",10,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",5,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",6,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",7,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",9,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",10,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",11,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",6,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",7,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",8,""+"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",3,""-"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",4,""-"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",5,""-"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",7,""-"""
"Average LOS,""30-Day Readmission Rate"",""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",4,""-"""
"Care Gaps,""30-Day Readmission Rate"",""Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",3,""+"""
"Clinical Stability,""30-Day Readmission Rate"",""Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",2,""-"""
"Cognitive Impairment/Status,""30-Day Readmission Rate"",""Cognitive Impairment/Status -> Patient Clinical Risk Profile -> 30-Day Readmission Rate"",2,""+"""
"Comorbidities,""30-Day Readmission Rate"",""Comorbidities -> Patient Clinical Risk Profile -> 30-Day Readmission Rate"",2,""+"""
"Complications,""30-Day Readmission Rate"",""Complications -> 30-Day Readmission Rate"",1,""+"""
"Continuity of Care,""30-Day Readmission Rate"",""Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",2,""-"""
"Continuity of Care,""30-Day Readmission Rate"",""Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",3,""-"""
